Company,Company Type,KPI Key,KPI Parameter,Category,2025 Value,2026 Value,Unit,Footnotes
"Groww","Discount","broking_income","Broking Income","Income","₹3,431.0","₹3,901.4","₹ Cr","Dominates ~81% of operations."
"Groww","Discount","distribution_income","Distribution Income","Income","NSD","NSD","₹ Cr","Zero-fee direct MF platform; monetized via Fisdom acquisition (Wealth) in Q3 FY26."
"Groww","Discount","mtf_income","MTF Income","Income","~₹39.0","~₹232.0","₹ Cr","Launched in April 2024; scaled significantly in FY26."
"Groww","Discount","total_income","Total Income","Income","₹4,061.65","₹4,815.88","₹ Cr","Consolidated Total Income."
"Groww","Discount","franchisee_expense","Franchisee/Comm. Expense","Expenses","Nil","Nil","₹ Cr","Purely direct-to-consumer digital broker with zero physical franchisee revenue share."
"Groww","Discount","employee_cost","Employee Cost","Expenses","NSD","~₹650.0","₹ Cr","FY26 employee costs include ESOP write-offs."
"Groww","Discount","it_expense","IT Expense","Expenses","NSD","NSD","text","Grouped under 'Cost to Serve' (Platform maintenance & api pipelines)."
"Groww","Discount","marketing_expense","Marketing & Biz Promotion","Expenses","NSD","NSD","text","Grouped under 'Cost to Grow' (Includes performance ads & brand awareness campaigns)."
"Groww","Discount","total_expense","Total Expense","Expenses","₹1,561.65","₹1,994.88","₹ Cr","Calculated from Total Income minus Profit Before Tax."
"Groww","Discount","pbt","Profit Before Tax (PBT)","Profitability","~₹2,500.0","₹2,821.0","₹ Cr","High operating leverage post-IPO scale."
"Groww","Discount","pat","Profit After Tax (PAT)","Profitability","₹1,824.0","₹2,083.0","₹ Cr","Consolidated Net Profit (+14.2% YoY)."
"Groww","Discount","brokerage_yield","Brokerage Yield","Profitability","Flat ₹20","Flat ₹20","text","Charges flat ₹20 or 0.05% per trade."
"Groww","Discount","turnover_cash","Turnover - Cash","Market Metrics","NSD","₹8.76 Tn","₹ Tn","Stock transaction volume (Q4 FY26 run-rate)."
